1 32 14880 173 1 206 226 970 19 714 417 131 130 260 148 703 60 722 121 73 284 1027 229 323 451 1141 309 1173 283 35 45 34 388 656 257 792 235 877 100 583 305 107 201 652 45 960 351 607 149 828 16 788 468 624 167 156 15 1023 336 204 286 658 175 227 301 1173 320
2 32 15511 200 469 71 417 995 35 424 147 785 371 195 439 636 118 236 338 410 149 1025 275 1132 315 1145 478 256 294 1035 268 999 100 259 476 513 296 81 173 86 135 779 317 850 351 298 43 1155 239 728 372 545 391 901 346 368 354 975 23 537 372 183 69 651 347 936 233
3 32 16140 867 270 399 99 744 175 1086 158 210 384 129 165 165 236 686 153 819 409 888 51 1139 333 57 161 1178 190 954 110 120 322 470 131 1119 252 376 464 1112 258 525 336 766 472 1159 104 242 288 961 385 929 366 82 420 273 309 581 51 931 387 165 443 927 453 116 433
4 32 14558 491 277 221 130 494 81 754 81 905 134 458 444 949 398 726 33 119 238 226 452 669 392 761 346 570 436 479 385 158 367 924 293 76 192 1138 133 150 319 545 132 955 142 521 338 52 445 774 264 1103 116 762 323 1053 162 67 330 205 288 692 405 789 121 412 57
5 32 15499 602 432 1176 376 770 427 703 155 838 413 566 188 516 171 337 425 201 290 1120 97 1188 353 318 259 477 252 1164 490 549 496 222 456 1050 277 507 93 279 113 359 232 267 217 1133 109 932 204 294 472 90 455 382 332 1100 430 199 40 361 194 841 49 220 355 613 141
6 32 15439 454 316 647 421 551 463 425 5 81 404 124 280 398 181 640 112 538 316 189 148 634 102 1177 144 540 395 101 62 941 84 588 401 987 36 576 26 972 411 482 234 544 429 1014 59 1188 356 483 407 737 222 307 119 439 149 487 122 1113 445 1136 335 598 156 208 31
7 32 15142 461 75 143 255 967 435 391 249 507 395 528 351 962 193 862 44 329 60 532 495 360 287 132 132 725 201 281 440 453 470 464 481 746 231 600 21 791 4 1114 122 322 165 418 339 1092 148 310 497 408 159 118 2 1134 284 770 160 1119 85 171 142 696 459 1022 27
8 32 16022 980 47 70 17 304 488 376 196 718 8 332 96 895 401 1074 500 389 3 945 215 1077 190 312 105 759 49 1156 178 792 4 399 215 929 158 388 491 1026 1 248 464 644 245 85 75 639 353 937 420 668 174 80 482 722 60 928 279 181 316 1075 438 567 193 333 418
9 32 13926 601 111 385 383 876 97 169 323 1040 487 710 441 209 296 537 76 1061 327 1085 237 362 478 451 500 714 318 578 329 99 337 920 295 197 479 225 114 298 262 207 247 1153 237 183 210 198 220 143 253 713 146 252 193 1094 215 505 384 144 408 434 390 1105 349 760 448
10 32 15492 202 449 61 426 946 208 489 50 451 348 527 449 868 197 180 368 992 268 1053 82 1150 58 1085 399 3 376 957 208 1038 466 90 458 382 119 853 28 495 470 1121 420 714 20 240 167 983 158 826 434 13 430 4 188 280 149 356 81 934 100 1083 394 202 99 788 225
