1 35 735 8 1 9 46 41 4 30 84 6 26 11 30 30 12 31 25 4 57 43 46 14 91 48 62 49 57 2 9 2 78 28 52 33 47 37 20 25 61 5 41 28 9 40 71 26 30 35 4 33 94 26 34 7 3 43 68 9 58 28 35 10 61 49 64 40 17 47 6 42 83
2 35 739 18 30 33 75 9 88 27 24 10 68 18 30 43 55 48 63 48 96 11 59 44 54 42 20 11 96 22 60 4 35 4 27 33 64 36 71 13 9 49 48 31 75 23 79 38 70 16 71 41 5 23 75 8 14 28 70 39 47 44 73 27 34 10 62 18 91 16 18 39 11
3 35 722 7 48 29 31 35 82 37 11 48 67 3 33 50 38 40 22 5 65 20 27 47 51 16 93 47 52 22 68 32 95 49 21 11 58 41 77 39 74 4 84 12 62 25 11 39 78 7 89 39 91 5 87 32 41 28 19 13 42 9 63 9 76 14 39 45 80 40 61 4 10
4 35 737 10 91 28 79 32 70 24 88 20 77 7 74 39 59 4 39 48 27 7 64 23 27 40 29 22 68 3 89 33 53 46 24 32 65 44 33 3 66 9 58 29 81 33 25 18 12 30 51 44 98 38 65 43 59 16 70 42 48 19 43 18 29 43 17 29 94 10 99 36 27
5 35 684 20 51 49 98 23 100 10 92 44 56 22 19 12 23 15 47 12 44 48 22 39 41 13 95 4 91 16 67 46 86 9 8 16 39 36 10 10 71 26 29 42 38 32 54 43 46 47 36 1 7 41 11 28 34 19 54 12 45 32 16 15 53 11 99 15 45 40 9 7 79
6 35 802 25 81 42 8 24 6 41 83 21 47 23 86 43 12 50 72 21 82 31 45 13 24 19 30 21 25 47 89 48 67 25 32 9 7 12 39 8 12 26 81 44 33 25 43 40 44 36 81 20 72 5 28 6 45 50 30 29 11 14 61 21 24 44 38 47 39 49 63 24 50
7 35 645 33 1 47 25 14 33 18 68 46 30 13 100 17 32 5 1 48 57 33 32 47 17 8 29 29 92 43 6 15 82 5 6 2 26 49 32 20 60 1 28 10 75 41 90 50 33 1 79 22 90 19 26 11 64 5 97 18 66 1 34 22 78 16 33 50 86 1 21 47 54
8 35 781 4 15 27 71 40 84 28 35 4 97 31 12 39 56 8 64 45 88 24 39 14 84 24 51 12 33 39 73 10 15 33 87 49 60 45 18 30 45 8 89 33 91 24 31 48 38 50 60 32 49 33 9 34 77 30 17 48 19 12 25 27 18 25 97 24 16 21 17 22 12
9 35 786 30 30 11 39 46 43 22 77 6 82 19 78 47 70 32 90 40 17 45 6 43 79 21 41 5 38 35 44 45 73 20 15 37 83 27 88 9 96 6 91 40 1 38 80 21 87 47 8 46 32 12 72 3 42 47 94 42 60 2 20 17 82 16 69 44 2 43 1 19 24
10 35 727 15 17 39 20 46 79 9 20 33 45 40 93 9 40 12 42 5 42 15 6 40 41 21 96 10 57 1 80 49 28 38 15 7 43 14 63 44 80 46 52 24 76 15 74 18 55 49 35 31 4 23 87 16 87 29 4 7 57 47 41 43 88 35 47 45 62 11 19 23 2
11 35 724 27 63 25 68 23 10 31 53 21 28 47 53 6 77 13 4 37 11 27 19 39 57 3 98 29 52 46 96 8 63 8 51 19 52 47 32 4 60 9 13 38 36 15 22 27 14 2 87 24 85 34 93 41 46 37 84 46 15 40 70 26 27 12 32 23 31 26 89 46 4
12 35 659 46 37 12 7 38 57 48 82 36 24 14 44 7 67 19 91 12 56 3 39 1 48 3 88 19 37 26 47 31 43 10 78 26 27 1 16 33 88 43 7 13 12 42 98 14 42 44 82 48 58 45 62 7 13 24 25 27 49 17 6 34 31 9 28 29 100 35 24 8 88
13 35 629 50 66 48 60 4 66 27 70 8 43 25 74 4 85 13 72 46 82 45 38 15 97 12 97 27 90 30 47 5 35 33 69 4 68 3 64 1 33 22 56 2 26 26 76 18 2 39 2 41 70 29 71 32 97 1 66 49 25 6 27 31 10 38 100 5 37 29 100 19 94
14 35 698 25 1 26 10 45 29 37 46 47 8 2 62 25 95 15 74 44 72 25 77 2 41 37 59 15 41 29 90 39 14 27 32 36 98 7 78 6 63 32 39 32 94 34 75 7 47 44 91 27 13 25 33 39 13 41 98 27 50 7 41 30 4 5 75 16 80 6 86 12 40
