1 30 9176 115 1 138 46 647 4 476 84 87 26 173 30 469 12 481 25 49 57 685 46 215 91 761 62 782 57 24 9 23 78 438 52 528 47 585 20 389 61 72 41 435 9 640 71 405 30 552 4 525 94 416 34 104 3 682 68 136 58 439 35
2 30 9909 481 98 512 79 133 94 47 84 663 7 283 30 524 75 130 88 424 24 158 68 274 30 684 55 755 63 763 96 171 59 690 54 666 20 173 96 342 60 54 35 57 27 520 64 567 71 199 9 770 48 486 75 364 79 601 70 246 71 650 5
3 30 10472 595 16 111 55 554 78 373 87 578 54 266 20 496 35 724 32 140 77 86 33 110 48 457 31 546 82 592 11 760 67 38 33 785 38 636 22 80 65 314 27 746 51 251 93 741 52 350 68 511 95 773 21 162 58 641 77 620 74 55 84
4 30 9655 494 49 82 78 618 14 709 78 725 10 693 64 327 56 148 26 330 17 503 17 604 27 305 89 633 80 484 7 80 48 151 91 446 79 507 70 380 88 319 77 106 74 616 59 51 39 759 27 100 64 363 27 637 29 348 68 35 89 516 53
5 30 9956 186 64 517 88 259 6 528 18 460 58 647 66 194 35 92 60 402 87 784 76 513 86 469 31 559 83 377 38 344 35 225 85 134 58 747 20 792 71 212 52 318 51 776 98 366 100 148 92 700 56 338 19 186 23 240 47 178 44 755 22
6 30 9309 326 25 754 8 727 32 531 92 687 17 64 31 310 71 78 19 568 52 225 83 303 64 431 85 368 93 283 1 54 81 83 56 266 37 427 23 359 64 126 30 423 21 785 29 360 79 67 13 628 17 392 81 658 8 384 6 648 83 322 47
7 30 8659 686 85 95 99 569 41 651 62 356 26 190 37 238 41 195 93 712 95 536 50 250 18 50 23 307 15 95 51 645 87 261 50 338 79 352 71 641 39 575 9 219 12 355 99 240 58 88 27 483 41 188 88 302 94 309 97 498 47 400 5
8 30 8960 6 93 194 27 264 35 542 91 237 26 795 34 254 10 3 95 454 65 256 94 136 15 227 58 735 86 44 29 653 10 47 4 203 98 251 40 479 2 221 20 597 81 716 100 260 1 630 43 718 38 208 21 506 10 771 36 528 1 266 43
9 30 10527 253 33 785 86 1 21 743 54 391 8 120 54 565 79 671 56 279 7 771 61 96 78 446 16 506 90 700 48 309 28 669 48 401 23 257 77 584 20 113 65 693 98 474 89 140 60 358 16 707 66 723 48 242 96 301 100 476 64 385 66
10 30 10905 539 77 472 17 765 19 182 25 420 18 396 97 379 16 336 17 352 12 404 60 233 21 308 92 344 43 614 12 652 37 624 93 558 64 717 80 135 90 41 86 631 42 326 10 301 70 351 90 579 40 120 74 661 54 702 17 767 12 723 80
11 30 9717 601 80 333 87 746 8 732 32 190 72 44 42 752 94 672 60 31 20 267 82 253 69 694 2 688 1 301 24 238 30 129 78 160 91 630 17 158 66 360 79 741 17 316 24 329 10 330 30 47 79 327 42 764 20 452 2 638 98 224 76
12 30 9560 108 43 219 63 695 80 728 52 372 76 239 74 286 55 774 35 491 4 368 87 253 87 461 4 107 57 747 41 686 88 551 47 715 62 162 19 361 2 573 53 504 50 540 46 73 62 418 42 219 93 424 12 615 25 27 73 84 53 150 78
13 30 9294 34 98 454 52 727 96 113 63 115 51 292 52 745 32 60 60 141 13 599 36 227 22 421 14 31 87 376 85 529 93 656 46 589 84 730 15 627 70 405 27 184 32 367 31 412 89 724 4 422 92 291 23 52 76 456 95 650 72 189 27
14 30 8354 104 67 297 91 183 56 45 39 4 48 34 88 301 37 405 47 485 43 148 78 402 27 16 16 527 88 679 7 198 12 670 98 209 42 695 82 758 58 719 62 98 13 371 25 432 49 265 6 539 31 133 28 456 100 550 24 126 88 594 99
15 30 8124 760 60 62 66 424 70 125 43 395 74 58 85 207 72 733 82 706 38 235 97 183 97 424 90 476 47 65 35 522 69 64 68 45 64 3 33 345 56 19 26 415 76 286 2 620 2 655 70 455 71 512 97 5 66 776 25 95 27 486 10
16 30 10788 793 9 294 58 793 38 751 65 397 1 413 10 719 29 588 46 740 8 26 62 388 95 225 74 696 72 391 77 19 41 577 59 240 41 462 90 615 14 424 32 571 98 105 78 90 63 499 39 506 94 541 75 107 47 700 91 420 13 396 33
