1 4 276 29 1 35 226 162 19 119 417
2 4 147 52 108 59 293 24 301 49 31
3 4 490 172 229 54 451 191 309 196 283
4 4 296 18 14 156 274 103 330 94 366
5 4 308 98 305 18 201 109 45 160 351
6 4 257 60 345 7 329 188 260 67 65
7 4 282 171 336 34 286 110 175 38 301
8 4 272 128 395 34 469 12 417 166 35
9 4 344 59 327 149 81 176 265 47 99
10 4 496 69 149 171 275 189 315 191 478
11 4 364 118 431 107 417 40 108 191 214
12 4 240 14 173 15 135 130 317 142 351
13 4 336 18 481 96 304 149 227 157 376
14 4 276 62 354 163 23 90 372 31 69
15 4 356 139 390 94 434 145 270 67 99
16 4 283 70 453 64 88 154 54 66 69
17 4 472 115 153 137 409 148 51 190 333
18 4 251 65 491 76 398 44 50 129 196
19 4 419 187 252 63 464 186 258 88 336
20 4 400 189 483 42 101 115 401 154 387
21 4 250 14 420 46 309 97 51 156 387
22 4 492 178 387 182 48 174 320 82 277
23 4 137 52 206 33 314 33 377 54 191
24 4 270 159 398 121 33 20 238 38 452
25 4 500 157 317 139 238 175 200 154 66
26 4 305 154 293 13 192 190 133 25 319
27 4 339 53 398 57 218 136 22 178 323
28 4 399 184 116 127 323 176 162 12 330
29 4 279 115 289 162 329 49 172 23 300
30 4 445 173 490 151 321 171 293 62 349
31 4 217 95 188 86 171 57 425 34 290
32 4 308 39 495 141 133 104 199 101 485
33 4 311 92 496 37 456 175 277 85 93
34 4 216 46 150 93 112 87 472 44 389
35 4 249 49 472 15 455 64 332 184 430
36 4 204 16 151 78 351 20 92 142 256
37 4 516 165 190 127 270 169 230 185 177
38 4 167 14 404 21 280 67 181 107 112
39 4 228 127 79 59 265 41 491 58 225
40 4 349 17 62 157 84 98 401 165 36
41 4 353 11 405 165 201 94 227 172 423
42 4 363 198 356 81 407 123 222 52 119
43 4 336 60 203 49 464 178 474 134 249
44 4 169 35 31 45 192 30 60 102 403
45 4 320 66 249 85 395 88 351 161 193
46 4 284 18 137 24 222 198 150 115 55
47 4 257 121 201 47 440 76 470 78 481
48 4 122 93 250 9 330 2 464 49 135
49 4 297 70 339 182 148 52 497 68 159
50 4 170 1 473 114 321 64 467 34 71
51 4 291 116 459 171 27 58 409 19 29
52 4 232 51 488 63 196 120 8 56 96
53 4 359 161 448 200 162 2 394 86 449
54 4 403 52 105 127 49 193 178 132 4
55 4 278 86 387 64 162 197 428 1 104
56 4 309 108 245 15 75 107 353 157 420
57 4 319 70 34 193 301 24 387 112 76
58 4 340 180 438 95 193 56 418 95 251
59 4 331 65 383 146 97 29 323 174 487
60 4 366 177 88 119 224 31 442 131 452
61 4 282 61 478 76 500 119 318 97 329
62 4 392 135 384 118 82 192 94 46 125
63 4 233 35 247 193 237 31 210 33 220
64 4 258 101 297 59 105 77 456 86 211
65 4 327 24 408 73 390 185 349 127 448
66 4 228 34 449 11 426 158 208 82 50
67 4 436 139 220 180 362 79 75 148 413
68 4 440 176 82 192 58 181 399 1 376
69 4 401 84 433 187 38 183 159 48 356
70 4 343 83 470 187 420 119 20 40 167
71 4 388 64 344 174 6 172 2 76 117
72 4 344 60 81 156 100 181 394 34 99
73 4 350 90 391 186 83 79 118 83 46
74 4 272 60 30 158 205 83 478 39 282
75 4 264 160 490 56 377 29 68 86 137
76 4 407 174 397 182 257 93 376 60 369
77 4 287 109 484 70 307 7 230 173 158
78 4 401 116 19 27 283 187 201 172 436
79 4 206 93 447 124 101 37 226 4 358
80 4 308 126 247 135 226 19 310 105 206
81 4 322 185 265 24 384 49 17 145 53
82 4 360 38 390 114 22 196 284 103 454
83 4 254 29 311 29 253 73 256 187 159
84 4 208 119 88 26 375 72 142 44 263
85 4 319 8 435 94 425 133 463 164 229
86 4 310 167 457 29 392 139 253 53 115
87 4 385 92 154 103 442 181 18 106 457
88 4 425 46 33 152 285 190 406 144 118
89 4 412 88 65 133 186 182 114 112 29
90 4 150 1 236 9 438 76 182 102 233
91 4 261 86 93 155 251 54 10 32 330
92 4 352 170 34 50 59 168 487 53 210
93 4 341 164 474 115 449 123 61 25 232
94 4 275 108 243 67 29 135 155 34 140
95 4 496 200 344 48 79 175 372 198 328
96 4 380 120 39 131 265 139 78 86 247
97 4 342 15 423 52 358 184 406 177 186
98 4 528 194 115 193 265 180 298 93 41
99 4 128 131 344 16 338 12 319 1 162
100 4 255 111 12 52 260 152 179 4 388
