1 25 4849 298 417 86 226 108 148 489 283 272 45 404 19 366 100 253 149 428 229 15 45 31 284 274 257 45 201 14 388 55 130 293 60 330 235 400 351 345 16 476 309 72 1 329 468 135 451 301 121 243 305
2 25 4849 243 305 55 130 108 148 272 45 489 283 72 1 330 235 366 100 476 309 253 149 404 19 14 388 345 16 31 284 86 226 428 229 274 257 400 351 301 121 45 201 135 451 15 45 298 417 293 60 329 468
3 25 4849 274 257 293 60 31 284 404 19 330 235 72 1 298 417 45 201 272 45 301 121 253 149 428 229 86 226 135 451 329 468 15 45 55 130 476 309 345 16 366 100 400 351 108 148 489 283 243 305 14 388
4 25 4849 45 201 55 130 366 100 298 417 489 283 15 45 253 149 404 19 31 284 329 468 301 121 330 235 272 45 14 388 400 351 135 451 72 1 345 16 428 229 293 60 476 309 86 226 274 257 243 305 108 148
5 25 4849 243 305 330 235 135 451 489 283 55 130 253 149 298 417 428 229 404 19 476 309 329 468 400 351 14 388 108 148 293 60 86 226 274 257 301 121 45 201 31 284 15 45 72 1 272 45 366 100 345 16
6 25 4849 330 235 400 351 31 284 298 417 489 283 86 226 135 451 72 1 253 149 272 45 15 45 45 201 274 257 404 19 329 468 243 305 345 16 55 130 301 121 366 100 293 60 476 309 428 229 108 148 14 388
7 25 4849 329 468 253 149 55 130 293 60 366 100 72 1 14 388 301 121 400 351 330 235 135 451 345 16 428 229 243 305 404 19 476 309 489 283 45 201 15 45 274 257 272 45 86 226 298 417 31 284 108 148
8 25 4849 135 451 45 201 489 283 31 284 108 148 330 235 72 1 253 149 86 226 400 351 14 388 329 468 428 229 293 60 55 130 345 16 272 45 301 121 243 305 15 45 404 19 366 100 476 309 298 417 274 257
9 25 4849 489 283 366 100 272 45 329 468 345 16 86 226 14 388 55 130 72 1 15 45 428 229 45 201 108 148 301 121 298 417 476 309 253 149 31 284 243 305 400 351 330 235 293 60 274 257 404 19 135 451
10 25 4849 400 351 253 149 31 284 301 121 274 257 108 148 330 235 15 45 14 388 293 60 243 305 45 201 366 100 135 451 86 226 298 417 55 130 72 1 489 283 404 19 476 309 345 16 329 468 428 229 272 45
11 25 4849 329 468 55 130 86 226 428 229 14 388 72 1 489 283 400 351 135 451 293 60 404 19 274 257 243 305 366 100 15 45 345 16 330 235 45 201 253 149 31 284 108 148 272 45 298 417 476 309 301 121
12 25 4849 330 235 272 45 345 16 293 60 253 149 55 130 15 45 366 100 86 226 489 283 428 229 298 417 404 19 31 284 301 121 329 468 243 305 274 257 400 351 45 201 72 1 476 309 135 451 14 388 108 148
13 25 4849 298 417 108 148 15 45 14 388 135 451 243 305 301 121 428 229 330 235 404 19 345 16 274 257 366 100 400 351 272 45 86 226 253 149 72 1 45 201 489 283 329 468 31 284 55 130 476 309 293 60
14 25 4849 55 130 31 284 243 305 135 451 345 16 366 100 489 283 330 235 274 257 329 468 72 1 272 45 298 417 14 388 404 19 428 229 476 309 86 226 293 60 108 148 400 351 301 121 45 201 253 149 15 45
