73364 78 78 0.20 uf20-0768.mwcnf
59442 78 78 0.13 uf20-0218.mwcnf
79385 78 78 0.14 uf20-0881.mwcnf
65709 78 78 0.24 uf20-0216.mwcnf
45369 78 78 0.13 uf20-0254.mwcnf
66507 78 78 0.13 uf20-0974.mwcnf
88458 78 78 0.36 uf20-0888.mwcnf
77664 78 78 0.25 uf20-0879.mwcnf
14378 78 78 0.15 uf20-0576.mwcnf
45867 78 78 0.10 uf20-0490.mwcnf
74555 78 78 0.24 uf20-0883.mwcnf
55370 78 78 0.13 uf20-0232.mwcnf
79457 78 78 0.19 uf20-0775.mwcnf
13311 78 78 0.36 uf20-0591.mwcnf
51144 78 78 0.17 uf20-0251.mwcnf
117247 77 78 0.21 uf20-0857.mwcnf
18693 78 78 0.17 uf20-0552.mwcnf
14984 78 78 0.10 uf20-063.mwcnf
70142 78 78 0.17 uf20-0938.mwcnf
15625 78 78 0.20 uf20-067.mwcnf
17868 78 78 0.16 uf20-0567.mwcnf
63111 78 78 0.10 uf20-0186.mwcnf
14427 78 78 0.36 uf20-0542.mwcnf
90891 78 78 0.20 uf20-0892.mwcnf
46960 78 78 0.15 uf20-0329.mwcnf
11584 78 78 0.44 uf20-0600.mwcnf
82070 78 78 0.17 uf20-0210.mwcnf
15404 78 78 0.17 uf20-0500.mwcnf
16477 78 78 0.25 uf20-0724.mwcnf
46418 78 78 0.18 uf20-0332.mwcnf
46296 78 78 0.29 uf20-0359.mwcnf
51704 78 78 0.13 uf20-0297.mwcnf
85928 78 78 0.18 uf20-0846.mwcnf
53957 78 78 0.07 uf20-0276.mwcnf
57506 78 78 0.17 uf20-0203.mwcnf
101081 78 78 0.10 uf20-0925.mwcnf
82414 78 78 0.16 uf20-0807.mwcnf
63893 78 78 0.10 uf20-0120.mwcnf
74126 78 78 0.17 uf20-0796.mwcnf
54036 78 78 0.58 uf20-0125.mwcnf
83408 78 78 0.27 uf20-0950.mwcnf
16414 78 78 0.15 uf20-0536.mwcnf
13685 78 78 0.10 uf20-0560.mwcnf
75847 78 78 0.17 uf20-0923.mwcnf
76359 78 78 0.10 uf20-0887.mwcnf
57526 78 78 0.30 uf20-0227.mwcnf
15191 78 78 0.24 uf20-0663.mwcnf
