uf20-0768.mwcnf 23278 -1 2 3 -4 -5 -6 7 -8 -9 10 11 12 13 14 15 16 -17 18 19 20 0
uf20-0218.mwcnf 35321 1 2 -3 -4 5 -6 7 8 9 10 -11 12 13 14 -15 -16 17 18 19 -20 0
uf20-0881.mwcnf 24156 -1 2 3 4 5 6 7 8 -9 10 -11 -12 13 -14 -15 16 17 18 19 20 0
uf20-0216.mwcnf 22831 -1 -2 3 -4 -5 -6 -7 8 -9 10 -11 12 13 14 -15 -16 17 18 19 -20 0
uf20-0254.mwcnf 42646 1 -2 3 4 5 6 7 8 9 -10 11 12 -13 14 15 -16 -17 18 19 20 0
uf20-0974.mwcnf 24771 1 -2 3 -4 5 6 -7 -8 9 -10 -11 12 -13 14 15 16 17 18 19 20 0
uf20-0888.mwcnf 30824 1 2 3 -4 5 6 -7 8 9 10 11 -12 13 14 15 16 17 18 19 20 0
uf20-0879.mwcnf 28347 1 -2 3 -4 -5 6 7 8 9 10 11 12 13 14 -15 -16 17 18 19 20 0
uf20-0576.mwcnf 99520 1 2 -3 4 -5 -6 -7 8 -9 10 11 12 13 14 15 -16 17 18 19 20 0
uf20-0490.mwcnf 87045 1 2 3 4 5 -6 -7 8 -9 10 11 12 13 -14 -15 -16 17 18 -19 -20 0
uf20-0883.mwcnf 18919 1 -2 -3 4 5 6 7 8 -9 -10 -11 12 -13 -14 15 -16 -17 18 19 20 0
uf20-0232.mwcnf 26777 1 2 -3 -4 5 -6 7 8 9 10 -11 -12 -13 14 -15 -16 -17 -18 -19 20 0
uf20-0775.mwcnf 14563 -1 -2 -3 4 5 6 -7 -8 9 10 11 12 -13 -14 -15 16 -17 -18 19 20 0
uf20-0591.mwcnf 74435 -1 2 -3 -4 5 6 7 -8 -9 10 -11 -12 -13 14 -15 16 17 18 19 -20 0
uf20-0251.mwcnf 30277 1 -2 -3 4 -5 6 -7 8 -9 -10 11 -12 -13 14 15 16 17 -18 19 -20 0
uf20-0857.mwcnf 16288 1 -2 3 4 -5 6 -7 8 -9 10 11 -12 -13 14 -15 -16 -17 18 -19 -20 0
uf20-0552.mwcnf 76404 -1 2 -3 -4 5 -6 7 -8 -9 10 11 12 -13 14 15 16 -17 -18 -19 20 0
uf20-063.mwcnf 70539 1 2 -3 -4 5 -6 -7 -8 9 10 11 -12 -13 -14 -15 16 17 -18 -19 20 0
uf20-0938.mwcnf 22269 1 -2 -3 4 5 -6 7 8 9 10 -11 12 13 14 -15 16 -17 18 -19 20 0
uf20-067.mwcnf 54361 1 2 3 -4 -5 -6 -7 8 -9 -10 11 -12 13 -14 15 -16 17 18 19 -20 0
uf20-0567.mwcnf 63170 1 -2 -3 -4 -5 6 -7 8 9 -10 11 12 -13 -14 15 -16 17 18 -19 20 0
uf20-0186.mwcnf 26619 -1 -2 3 -4 5 6 -7 8 9 -10 -11 -12 -13 14 15 16 -17 18 -19 20 0
uf20-0542.mwcnf 97522 1 2 3 -4 5 6 7 8 -9 -10 11 -12 13 14 15 -16 -17 -18 19 20 0
uf20-0892.mwcnf 24505 1 2 -3 4 5 6 7 8 9 10 11 12 13 -14 15 -16 17 -18 -19 -20 0
uf20-0329.mwcnf 36268 -1 2 3 4 5 6 7 -8 9 -10 11 12 -13 14 15 16 -17 -18 19 -20 0
uf20-0600.mwcnf 55766 -1 -2 3 -4 -5 -6 7 -8 9 -10 11 -12 -13 -14 15 16 17 -18 19 20 0
uf20-0210.mwcnf 28259 1 -2 -3 4 5 6 7 8 9 10 11 12 13 14 15 -16 -17 -18 19 -20 0
uf20-0500.mwcnf 85672 -1 2 3 4 -5 6 7 -8 -9 10 11 12 13 14 15 16 -17 18 19 -20 0
uf20-0724.mwcnf 36361 1 2 3 4 5 6 7 8 -9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-0332.mwcnf 28139 1 2 3 -4 5 6 -7 8 -9 10 -11 12 -13 14 15 -16 -17 18 19 20 0
uf20-0359.mwcnf 26785 1 -2 -3 4 5 -6 7 8 -9 10 -11 12 13 -14 -15 16 -17 -18 -19 20 0
uf20-0297.mwcnf 36402 1 2 3 4 5 -6 7 8 9 -10 11 12 -13 -14 15 -16 17 18 -19 -20 0
uf20-0846.mwcnf 34088 1 2 3 4 5 6 7 8 9 -10 11 12 13 14 15 16 17 -18 19 20 0
uf20-0276.mwcnf 40931 -1 -2 3 -4 5 6 -7 8 9 10 -11 12 13 -14 15 16 17 18 19 20 0
uf20-0203.mwcnf 38199 1 -2 -3 -4 5 6 -7 8 9 10 11 12 13 14 15 -16 -17 18 19 20 0
uf20-0925.mwcnf 15669 1 2 3 -4 5 6 -7 8 -9 10 -11 -12 -13 -14 15 -16 -17 18 19 -20 0
uf20-0807.mwcnf 19649 1 -2 3 4 5 6 7 -8 -9 -10 11 12 -13 -14 -15 16 17 -18 19 20 0
uf20-0120.mwcnf 37749 1 -2 3 4 5 6 7 8 9 10 11 12 -13 -14 15 16 17 18 -19 -20 0
uf20-0796.mwcnf 22734 1 -2 3 -4 5 6 -7 8 9 10 11 12 -13 -14 -15 -16 17 18 19 20 0
uf20-0125.mwcnf 38648 1 2 3 -4 5 -6 7 8 -9 -10 -11 12 13 -14 -15 16 17 18 19 20 0
uf20-0950.mwcnf 26191 1 -2 3 4 -5 6 7 8 -9 10 11 12 13 14 -15 -16 17 -18 19 20 0
uf20-0536.mwcnf 73887 -1 -2 3 -4 5 -6 7 8 9 10 -11 12 -13 14 15 -16 17 -18 19 -20 0
uf20-0560.mwcnf 114457 -1 2 3 4 5 -6 7 -8 9 10 -11 12 13 14 -15 16 17 18 19 20 0
uf20-0923.mwcnf 25821 1 -2 3 -4 5 -6 7 -8 9 10 11 12 13 14 -15 16 17 18 -19 20 0
uf20-0887.mwcnf 20394 -1 2 3 4 -5 6 7 -8 -9 -10 -11 12 13 14 15 16 17 -18 19 -20 0
uf20-0227.mwcnf 48728 -1 2 3 4 5 -6 7 8 9 -10 -11 12 13 14 15 16 17 18 19 20 0
uf20-0663.mwcnf 95203 1 -2 3 4 5 6 7 8 9 10 -11 12 -13 14 15 -16 17 18 -19 -20 0
uf20-0971.mwcnf 17902 -1 2 -3 4 -5 6 7 8 -9 -10 -11 12 -13 14 -15 16 17 18 -19 20 0
uf20-0198.mwcnf 42704 1 -2 3 4 5 -6 7 8 -9 10 11 12 13 -14 -15 16 17 18 19 -20 0
uf20-0727.mwcnf 22163 1 2 -3 4 5 6 -7 -8 9 -10 11 -12 -13 -14 15 16 17 -18 19 20 0
uf20-0584.mwcnf 52754 1 2 -3 -4 -5 6 -7 -8 9 10 -11 -12 -13 -14 -15 16 -17 -18 -19 20 0
uf20-0641.mwcnf 94314 1 -2 -3 4 5 6 7 8 -9 10 11 -12 -13 -14 15 16 17 18 19 -20 0
uf20-0826.mwcnf 25569 1 -2 3 -4 5 6 7 -8 9 -10 11 12 -13 -14 -15 16 17 18 19 -20 0
uf20-0226.mwcnf 41285 1 2 3 4 5 6 -7 8 9 10 -11 12 13 14 -15 16 17 -18 19 -20 0
uf20-0279.mwcnf 27821 1 -2 3 4 -5 6 7 8 -9 -10 11 -12 -13 -14 15 16 -17 18 -19 -20 0
uf20-0566.mwcnf 66695 1 2 -3 -4 -5 -6 -7 8 9 10 -11 12 13 -14 15 -16 17 -18 19 20 0
uf20-0988.mwcnf 23572 -1 2 3 4 5 6 -7 8 -9 10 11 12 -13 -14 15 16 17 18 19 20 0
uf20-040.mwcnf 37289 1 2 3 4 5 6 -7 -8 9 10 -11 12 -13 -14 -15 16 17 -18 19 20 0
uf20-0959.mwcnf 24483 1 2 3 4 -5 6 -7 -8 9 10 -11 -12 13 -14 15 16 17 18 19 20 0
uf20-0217.mwcnf 35179 -1 -2 3 -4 5 6 7 8 9 -10 11 -12 -13 14 15 -16 -17 18 -19 -20 0
uf20-0680.mwcnf 73050 -1 -2 3 -4 5 6 -7 -8 9 -10 -11 -12 -13 14 -15 16 17 -18 19 -20 0
