uf20-0108 75 1 -2 3 4 -5 -6 7 8 9 10 11 -12 13 -14 15 -16 -17 18 19 -20 0
uf20-0405 38 -1 -2 3 -4 5 -6 -7 8 9 10 -11 -12 -13 14 -15 -16 17 -18 19 -20 0
uf20-0854 37 1 -2 3 -4 -5 6 7 8 9 10 -11 12 -13 14 -15 -16 17 -18 -19 -20 0
uf20-0625 91 -1 2 3 4 -5 -6 7 8 9 10 11 12 -13 -14 15 16 -17 18 19 20 0
uf20-0107 80 -1 2 3 4 -5 -6 7 8 9 10 -11 12 13 -14 15 -16 17 18 19 20 0
uf20-0945 66 -1 2 -3 4 5 6 -7 -8 9 -10 -11 -12 13 14 -15 -16 17 -18 -19 20 0
uf20-0739 74 1 -2 -3 4 5 -6 7 8 -9 -10 -11 12 13 -14 -15 -16 -17 18 19 -20 0
uf20-0734 77 -1 2 3 -4 5 -6 7 8 9 10 -11 12 -13 14 15 16 -17 18 19 -20 0
uf20-0468 68 1 -2 3 4 5 6 7 -8 9 -10 11 -12 13 -14 15 -16 -17 -18 19 20 0
uf20-052 92 1 2 3 4 5 6 7 -8 -9 -10 -11 -12 13 14 15 16 17 -18 -19 20 0
uf20-0612 50 1 2 3 4 -5 -6 -7 8 9 10 -11 -12 13 14 15 -16 17 -18 -19 20 0
uf20-0642 43 -1 -2 3 -4 -5 -6 7 -8 9 -10 -11 -12 13 -14 15 16 17 -18 -19 20 0
uf20-0373 63 1 -2 3 4 -5 -6 7 8 9 -10 11 12 13 -14 15 16 -17 18 -19 20 0
uf20-0221 110 -1 2 3 4 5 6 -7 8 9 10 11 12 13 14 -15 16 -17 -18 19 20 0
uf20-0783 81 -1 2 -3 4 -5 -6 7 8 9 -10 11 -12 13 14 15 16 17 -18 19 20 0
uf20-0102 67 1 2 -3 4 -5 6 7 8 9 10 -11 12 13 14 15 -16 -17 -18 19 -20 0
uf20-0871 46 1 -2 -3 -4 -5 6 7 -8 9 10 11 12 13 -14 15 -16 -17 18 19 20 0
uf20-0656 73 1 2 -3 -4 5 -6 -7 -8 9 10 -11 -12 -13 14 -15 16 -17 18 19 -20 0
uf20-0782 47 1 -2 -3 -4 5 -6 7 -8 9 10 -11 12 13 14 15 16 -17 -18 -19 20 0
uf20-0272 71 1 -2 -3 4 -5 6 7 -8 -9 10 11 12 13 14 -15 16 17 -18 19 20 0
uf20-0830 90 1 -2 3 -4 -5 6 -7 8 9 10 11 -12 -13 14 15 -16 17 -18 19 -20 0
uf20-0628 95 1 -2 3 4 5 6 -7 8 -9 10 11 12 13 14 15 16 17 18 -19 -20 0
uf20-0544 65 1 2 3 4 5 -6 7 8 9 10 11 -12 -13 14 -15 -16 17 18 -19 -20 0
